Mnemonic,Addr. Mode,Opcode,Orig Cycles,New Cycles,# Bytes,N,V,B,D,I,Z,C,MC Step,Done,Addr_Op,Din_Le,Rd_En,Dout_op,Dint1_Op,Dint2_Op,Dint3_Op,PC_Op,SP_Op,Alu1,Alu2,ALU_OP,A_Le,X_Le,Y_Le,Flag_Op
,,,,,,,,,,,,,2,,din_zxp,en,read,,,, ,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,din,,,,,,,,,,,
,,,,,,,,,,,,,4,,split,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,a_reg,din,bit_or,le,,,nz
ORA,"(IND),Y",11,5,7,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,din_zp,en,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,din,,,,,,,,,,,
,,,,,,,,,,,,,4,,split_y,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,a_reg,din,bit_or,le,,,nz
ORA,Z-PAGE,05,3,4,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,a_reg,din,bit_or,le,,,nz
ORA,"Z-PAGE,X",15,4,4,2,N,,,,,Z,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,a_reg,din,bit_or,le,,,nz
PHA,IMP,48,3,3,1,,,,,,,,0,,sp,,,a_reg,,,,,push,,,,,,,
,,,,,,,,,,,,,1,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
PHP,IMP,08,3,3,1,,,,,,,,0,,sp,,,p_reg,,,,,push,,,,,,,
,,,,,,,,,,,,,1,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
PLA,IMP,68,4,4,1,N,,,,,Z,,0,,,,,,,,,,pop,,,,,,,
,,,,,,,,,,,,,1,,sp,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,din,pass2,le,,,nz
PLP,IMP,28,4,4,1,N,V,B,D,I,Z,C,0,,,,,,,,,,pop,,,,,,,
,,,,,,,,,,,,,1,,sp,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,, ,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,din
RESET,INTERNAL,03,0,0,0,,,,,I,,,0,,v_reset1,,read,,,,,,,,,,,,,SetI
,,,,,,,,,,,,,1,,v_reset2,en,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,en,,,din,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,split,,,,,,,,
,,,,,,,,,,,,,4,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
ROL,ABS,2E,6,8,3,N,,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,read,,,din,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,alu,,,din, ,bit_rol,,,,nzc
,,,,,,,,,,,,,5,,dint16,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
ROL,"ABS,X",3E,7,8,3,N,,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_x,,read,,,din,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,alu,,,din, ,bit_rol,,,,nzc
,,,,,,,,,,,,,5,,dint16_x,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
ROL,ACC,2A,2,2,1,N,,,,,Z,C,0,done,,,,,,,,,,a_reg,,bit_rol,le,,,nzc
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
ROL,Z-PAGE,26,5,7,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,din,,,,,,,,,,,
,,,,,,,,,,,,,2,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,alu,,,din,,bit_rol,,,,nzc
,,,,,,,,,,,,,4,,dint1_z,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
ROL,"Z-PAGE,X",36,6,7,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,din,,,,,,,,,,,
,,,,,,,,,,,,,2,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,alu,,,din,,bit_rol,,,,nzc
,,,,,,,,,,,,,4,,dint1_zx,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
ROR,ABS,6E,6,8,3,N,,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,read,,,din,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,alu,,,din, ,bit_ror,,,,nzc
,,,,,,,,,,,,,5,,dint16,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
ROR,"ABS,X",7E,7,8,3,N,,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_x,,read,,,din,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,alu,,,din, ,bit_ror,,,,nzc
,,,,,,,,,,,,,5,,dint16_x,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
ROR,ACC,6A,2,2,1,N,,,,,Z,C,0,done,,,,,,,,,,a_reg,,bit_ror,le,,,nzc
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
ROR,Z-PAGE,66,5,7,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,din,,,,,,,,,,,
,,,,,,,,,,,,,2,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,alu,,,din,,bit_ror,,,,nzc
,,,,,,,,,,,,,4,,dint1_z,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
ROR,"Z-PAGE,X",76,6,7,2,N,,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,din,,,,,,,,,,,
,,,,,,,,,,,,,2,,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,alu,,,din,,bit_ror,,,,nzc
,,,,,,,,,,,,,4,,dint1_zx,,,dint3,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
RTI,IMP,40,6,8,1,N,V,B,D,I,Z,C,0,,,,,,,,,,pop,,,,,,,
,,,,,,,,,,,,,1,,sp,,read,,,,,,pop,,,,,,,
,,,,,,,,,,,,,2,,sp,en,read,,,,,,pop,,,,,,,
,,,,,,,,,,,,,3,,sp,en,read,,,,,,,,,,,,,din
,,,,,,,,,,,,,4,,,en,,,din,,,,,,,,,,,
,,,,,,,,,,,,,5,,,,,,,,,split,,,,,,,,
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
RTS,IMP,60,6,8,1,,,,,,,,0,,,,,,,,,,pop,,,,,,,
,,,,,,,,,,,,,1,,sp,,read,,,,,,pop,,,,,,,
,,,,,,,,,,,,,2,,sp,en,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,din,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,split,,,,,,,,
,,,,,,,,,,,,,5,,,,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
SBC,ABS,ED,4,5,3,N,V,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,a_reg,din,subb,le,,,nvzc
SBC,"ABS,X",FD,4,5,3,N,V,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_x,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,a_reg,din,subb,le,,,nvzc
SBC,"ABS,Y",F9,4,5,3,N,V,,,,Z,C,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_y,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,a_reg,din,subb,le,,,nvzc
SBC,IMM,E9,2,3,2,N,V,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,done,,,,,,,,,,a_reg,din,subb,le,,,nvzc
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
SBC,"(IND,X)",E1,6,7,2,N,V,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,din_zxp,en,read,,,, ,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,din,,,,,,,,,,,
,,,,,,,,,,,,,4,,split,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,a_reg,din,subb,le,,,nvzc
SBC,"(IND),Y",F1,5,7,2,N,V,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,din_zp,en,read,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,en,,,din,,,,,,,,,,,
,,,,,,,,,,,,,4,,split_y,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,5,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,a_reg,din,subb,le,,,nvzc
SBC,Z-PAGE,E5,3,4,2,N,V,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_z,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,a_reg,din,subb,le,,,nvzc
SBC,"Z-PAGE,X",F5,4,4,2,N,V,,,,Z,C,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,en,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,a_reg,din,subb,le,,,nvzc
SEC,IMP,38,2,2,1,,,,,,,C,0,done,,,,,,,,,,,,,,,,SetC
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
SED,IMP,F8,2,2,1,,,,D,,,,0,done,,,,,,,,,,,,,,,,SetD
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
SEI,IMP,78,2,2,1,,,,,I,,,0,done,,,,,,,,,,,,,,,,SetI
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
STA,ABS,8D,4,5,3,,,,,,,,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,,a_reg,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
STA,"ABS,Y",99,5,5,3,,,,,,,,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split_y,,,a_reg,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
STA,"(IND,X)",81,6,7,2,,,,,,,,0,,,en,,,,,,inc
,,,,,,,,,,,,,1,,din_zx,,read,,,,,
,,,,,,,,,,,,,2,,din_zxp,en,read,,,, ,
,,,,,,,,,,,,,3,,,en,,,din,,,
,,,,,,,,,,,,,4,,split,,,a_reg,,,,
,,,,,,,,,,,,,5,done,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,
STA,"(IND),Y",91,6,7,2,,,,,,,,0,,,en,,,,,,inc
,,,,,,,,,,,,,1,,din_z,,read,,,,,
,,,,,,,,,,,,,2,,din_zp,en,read,,,,,
,,,,,,,,,,,,,3,,,en,,,din,,,
,,,,,,,,,,,,,4,,split_y,,,a_reg,,,,
,,,,,,,,,,,,,5,done,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,
STA,Z-PAGE,85,3,4,2,,,,,,,,0,,,en,,,,,,inc
,,,,,,,,,,,,,1,,din_z,,,a_reg,,,,
,,,,,,,,,,,,,2,done,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,
STA,"Z-PAGE,X",95,4,4,2,,,,,,,,0,,,en,,,,,,inc,
,,,,,,,,,,,,,1,,din_zx,,,a_reg,,,,,
,,,,,,,,,,,,,2,done,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,
STA ,"ABS,X",9D,5,5,3,,,,,,,,0,,pc_p,en,read,,,,,inc,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,
,,,,,,,,,,,,,2,,split_x,,,a_reg,,,,,
,,,,,,,,,,,,,3,done,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,
S_IRQ,INTERNAL,43,0,0,0,,,,,,,,0,,v_irq1,,read,,,,,,
,,,,,,,,,,,,,1,,v_irq2,en,read,,,,,,
,,,,,,,,,,,,,2,,sp,en,,pch,din,,,,push
,,,,,,,,,,,,,3,,sp,,,pcl,,,,split,push
,,,,,,,,,,,,,4,,sp,,,p_reg,,,,,push
,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,SetI
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
S_NMI,INTERNAL,33,0,0,0,,,,,,,,0,,v_nmi1,,read,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,v_nmi2,en,read,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,sp,en,,pch,din,,,,push,,,,,,,
,,,,,,,,,,,,,3,,sp,,,pcl,,,,split,push,,,,,,,
,,,,,,,,,,,,,4,,sp,,,p_reg,,,,,push,,,,,,,
,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,SetI
,,,,,,,,,,,,,6,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
STX,ABS,8E,4,5,3,,,,,,,,0,,pc_p,en,read,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,,en,,,din,,,inc,,,,,,,,
,,,,,,,,,,,,,2,,split,,,x_reg,,,,,,,,,,,,
,,,,,,,,,,,,,3,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
STX,Z-PAGE,86,3,4,2,,,,,,,,0,,,en,,,,,,inc
,,,,,,,,,,,,,1,,din_z,,,x_reg,,,,
,,,,,,,,,,,,,2,done,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,
STX,"Z-PAGE,Y",96,4,4,2,,,,,,,,0,,,en,,,,,,inc
,,,,,,,,,,,,,1,,din_zy,,,x_reg,,,,
,,,,,,,,,,,,,2,done,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,
STY,ABS,8C,4,5,3,,,,,,,,0,,pc_p,en,read,,,,,inc
,,,,,,,,,,,,,1,,,en,,,din,,,inc
,,,,,,,,,,,,,2,,split,,,y_reg,,,,
,,,,,,,,,,,,,3,done,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,
STY,Z-PAGE,84,3,4,2,,,,,,,,0,,,en,,,,,,inc
,,,,,,,,,,,,,1,,din_z,,,y_reg,,,,
,,,,,,,,,,,,,2,done,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
STY,"Z-PAGE,X",94,4,4,2,,,,,,,,0,,,en,,,,,,inc,,,,,,,,
,,,,,,,,,,,,,1,,din_zx,,,y_reg,,,,,,,,,,,,
,,,,,,,,,,,,,2,done,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
TAX,IMP,AA,2,2,1,N,,,,,Z,,0,done,,,,,,,,,,a_reg,,pass1,,le,,nz
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
TAY,IMP,A8,2,2,1,N,,,,,Z,,0,done,,,,,,,,,,a_reg,,pass1,,,le,nz
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
TSX,IMP,BA,2,2,1,N,,,,,Z,,0,done,,,,,,,,,,,sp_reg,pass2,,le,,nz
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
TXA,IMP,8A,2,2,1,N,,,,,Z,,0,done,,,,,,,,,,x_reg,,pass1,le,,,nz
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
TXS,IMP,9A,2,2,1,,,,,,,,0,done,,,,,,,,,x_reg,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
TYA,IMP,98,2,2,1,N,,,,,Z,,0,done,,,,,,,,,,y_reg,,pass1,le,,,nz
,,,,,,,,,,,,,1,,,,
END,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,Total instructions,,154,
,,,,,,,,,,,,,,Total Done:,,154,
,,,,,,,,,,,,,,Remaining:,,0,
,,,,,,,,,,,,,,Done %:,,100,
,,,,,,,,,,,,,,Ave. Orig. Clocks,,3.83,
,,,,,,,,,,,,,,Ave. New Clocks,,4.74,
,,,,,,,,,,,,,,Max Orig. Clocks,,7,
,,,,,,,,,,,,,,Max New Clocks,,8,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
